•	City: guangzhou
•		•	[food] Taotaoju | tags: cantonese, dim_sum, traditional, breakfast, casual | excellence: 0.90
•	[food] Ponti’s Ristorante | tags: italian, pizza, western, casual, social | excellence: 0.85
•	[food] Ma Wang Zi | tags: modern_sichuan, contemporary, lunch, dinner, creative | excellence: 0.83
•	[food] Long Sen Yuan Hotpot | tags: hot_pot, spice, communal, local, dinner | excellence: 0.87
•	[food] Chen Mapo Tofu | tags: sichuan, tofu, spicy, quick_bite, local | excellence: 0.81
•	[food] Houtang Hot Pot | tags: hot_pot, classic, spice, hearty, local | excellence: 0.84
•	[food] Ma’s Kitchen | tags: chinese, comfort_food, local, lunch, dinner | excellence: 0.82
•	[food] Heming Chashe | tags: tea_house, snacks, casual, local, traditional | excellence: 0.80
•	[food] Yushaoxia Street Grill | tags: grill, street_food, spicy, casual, local | excellence: 0.78
•	[food] Chengdu Chi Ke | tags: sichuan, local_diner, breakfast, lunch, authentic | excellence: 0.77
•	[food] Bobo Chicken Caotang North Rd | tags: sichuan, street_food, chicken, spicy, snack | excellence: 0.75
•	[food] Cold Noodles Stand | tags: street_food, noodles, quick_bite, refreshing, casual | excellence: 0.74
•	[food] Lai Tang Yuan Stall | tags: dessert, traditional, sweet, local, snack | excellence: 0.76
•	[food] Dan Dan Noodles Shop | tags: noodles, sichuan, spicy, breakfast, local | excellence: 0.79
•	[food] Dumpling House | tags: dumplings, chinese, casual, lunch, local | excellence: 0.76
•	[food] Sichuan Snack Alley | tags: street_food, snacks, local, casual, lively | excellence: 0.73
•	[food] Tea House & Dim Sum | tags: tea, dim_sum, traditional, relax, morning | excellence: 0.78
•	[food] Western Bistro Bar | tags: western, bar, casual, dinner, drinks | excellence: 0.75
•	[food] Café on Taikoo Li | tags: cafe, coffee, casual, modern, daytime | excellence: 0.80
•	[food] Noodle & Dumpling Corner | tags: local, noodles, dumplings, lunch, budget | excellence: 0.72
•	[culture] Chengdu Research Base of Giant Panda Breeding | tags: wildlife, pandas, conservation, family, outdoor | excellence: 0.96
•	[culture] Wenshu Monastery | tags: temple, buddhist, heritage, calm, historical | excellence: 0.91
•	[culture] Jinli Ancient Street | tags: historic_street, culture, local_life, heritage, shopping | excellence: 0.90
•	[culture] People’s Park | tags: park, tea_culture, local_life, relax, nature | excellence: 0.88
•	[culture] Wuhou Shrine | tags: history, shrine, three_kingdoms, heritage, culture | excellence: 0.89
•	[culture] KuanZhai Alleys | tags: heritage, alley, culture, cafes, traditional | excellence: 0.87
•	[culture] Sichuan Opera Performance | tags: opera, performing_arts, cultural, evening, traditional | excellence: 0.86
•	[culture] Du Fu Thatched Cottage | tags: museum, literature, history, heritage, garden | excellence: 0.85
•	[culture] Qingyang Palace | tags: taoist_temple, spiritual, heritage, architecture, calm | excellence: 0.84
•	[culture] Taikoo Li District | tags: urban_district, shopping, modern, lifestyle, culture | excellence: 0.83
•	[culture] Sichuan Museum | tags: museum, artifacts, history, education, exhibits | excellence: 0.82
•	[culture] Sichuan Cuisine Museum | tags: museum, food_culture, local, interactive, culture | excellence: 0.81
•	[culture] Teahouse Culture Spot | tags: teahouse, tradition, local_life, tea, social | excellence: 0.80
•	[culture] Leshan Giant Buddha (half-day) | tags: unesco, heritage, statue, historic, pilgrimage | excellence: 0.88
•	[culture] Mount Qingcheng | tags: unesco, taoism, nature, hiking, heritage | excellence: 0.89
•	[culture] Dujiangyan Irrigation System | tags: unesco, engineering, heritage, outdoor, history | excellence: 0.88
•	[culture] Chengdu City Walls Park | tags: history, park, ruins, heritage, outdoor | excellence: 0.78
•	[culture] Contemporary Art Gallery | tags: art, modern, exhibits, creative, urban | excellence: 0.79
•	[walk] Taikoo Li Shopping Loop | tags: walk, urban, shopping, daytime, modern | excellence: 0.85
•	[walk] Wide & Narrow Alley Walk | tags: walk, heritage, alleys, daytime, photography | excellence: 0.87
•	[walk] Jinli Ancient Street Stroll | tags: walk, historic, local_life, street, daytime | excellence: 0.88
•	[walk] People’s Park Tea Walk | tags: walk, park, tea, local, relaxed | excellence: 0.80
•	[walk] Night Food Street Circuit | tags: walk, night, street_food, lively, casual | excellence: 0.82
•	[walk] Riverside Promenade | tags: walk, scenic, sunset, leisure, calm | excellence: 0.79
•	[walk] Temple & Garden Loop | tags: walk, heritage, temples, garden, reflective | excellence: 0.81
•	[walk] Chunxi Road Urban Trek | tags: walk, city_life, shopping, urban, daytime | excellence: 0.83
•	[walk] Tea House Row Amble | tags: walk, tea_culture, local, casual, relaxed | excellence: 0.78
•	[walk] Night Market & Bar District | tags: walk, night, bars, nightlife, social | excellence: 0.84
•	[walk] Local Alley Explorations | tags: walk, alleys, local_life, discovery, daytime | excellence: 0.82


City: shanghai
•	[food] Jia Jia Tang Bao | tags: soup_dumplings, shanghainese, street_food, quick_bite, local | excellence: 0.87  
•	[food] Lost Heaven | tags: yunnan, chinese, fusion, lunch, dinner | excellence: 0.85  
•	[food] The Fellas Terrace | tags: italian, mediterranean, terrace, cafe, casual | excellence: 0.83  
•	[food] Ren He Guan | tags: shanghainese, traditional, fine_dining, classic, dinner | excellence: 0.90  
•	[food] M on the Bund | tags: western, river_view, fine_dining, upscale, dinner | excellence: 0.88  
•	[food] Mr & Mrs Bund | tags: french, western, modern, dinner, creative | excellence: 0.87  
•	[food] Ultraviolet | tags: multi_sensory, avant_garde, experimental, tasting, exclusive | excellence: 0.96  
•	[food] Crab Meat Noodle House | tags: seafood, noodles, shanghainese, casual, local | excellence: 0.82  
•	[food] Tandoor Indian Restaurant | tags: indian, spicy, grill, casual, international | excellence: 0.80  
•	[food] Efes Turkish & Mediterranean | tags: mediterranean, grill, casual, social, dinner | excellence: 0.79  
•	[food] YICAFE at Pudong | tags: seafood, buffet, international, lunch, social | excellence: 0.81  
•	[food] Goodfellas | tags: italian, pizza, social, casual, lunch | excellence: 0.80  
•	[food] Shanghai Grandmother | tags: chinese, homestyle, lunch, local, traditional | excellence: 0.78  
•	[food] Chinese Hotpot Spot | tags: hotpot, communal, spicy, local, lunch | excellence: 0.75
•	[food] Tea House & Dim Sum Corner | tags: tea, dim_sum, morning, traditional, local | excellence: 0.76
•	[food] Western Bistro & Bar | tags: western, bar, casual, drinks, night | excellence: 0.77
•	[food] Street Skewer Alley | tags: street_food, barbecue, night, local, casual | excellence: 0.74
•	[food] Quick Noodle Stand | tags: noodles, quick_bite, budget, local, lunch | excellence: 0.72
•	[food] Dessert & Pastry Shop | tags: sweets, bakery, casual, local, snack | excellence: 0.73
•	[food] Coffee & Snacks Cafe | tags: cafe, coffee, daytime, casual, social | excellence: 0.79
•	[culture] The Bund | tags: waterfront, skyline, photo_spot, history, iconic | excellence: 0.95  
•	[culture] Yu Garden | tags: classical_garden, heritage, chinese_architecture, tranquility, photo_spot | excellence: 0.89  
•	[culture] Shanghai Tower Observation Deck | tags: skyscraper, skyline, modern, view, photo | excellence: 0.94  
•	[culture] Jade Buddha Temple | tags: temple, buddhist, heritage, serene, spiritual | excellence: 0.88  
•	[culture] Shanghai Museum | tags: museum, history, art, culture, exhibits | excellence: 0.90  
•	[culture] Century Park | tags: park, nature, relax, outdoor, family | excellence: 0.83  
•	[culture] Former French Concession | tags: heritage, shikumen, culture, cafes, architecture | excellence: 0.91 ure] Tianzifang | tags: arts_district, boutique, alley, culture, local | excellence: 0.88 ure] Xintiandi District | tags: nightlife, shopping, heritage, lifestyle, dining | excellence: 0.87 ure] Qibao Old Street | tags: old_town, heritage, markets, local, food_spots | excellence: 0.85 ure] Longhua Temple | tags: temple, history, calm, heritage, architecture | excellence: 0.84
•	[culture] Shanghai Urban Planning Exhibition | tags: modern, city_development, exhibits, learning, architecture | excellence: 0.82
•	[culture] Art Museum District | tags: contemporary_art, galleries, creative, culture, exhibits | excellence: 0.80
•	[culture] Huangpu River Cruise | tags: scenic, river, sunset, urban, experience | excellence: 0.88 ure] Shanghai Jewish Refugees Museum | tags: history, heritage, education, culture, museum | excellence: 0.81
•	[culture] Propaganda Poster Art Centre | tags: museum, cold_war, art, history, rare | excellence: 0.79
•	[culture] Urban Photography Spots | tags: photospots, skyline, urban, creative, iconic | excellence: 0.82
•	[walk] Bund Riverside Promenade | tags: walk, river, skyline, sunset, photo | excellence: 0.90 k] Former French Concession Stroll | tags: walk, heritage, trees, cafes, daytime | excellence: 0.88 ] Tianzifang Alley Walk | tags: walk, arts, alleys, boutique, local | excellence: 0.86 ] Xintiandi Night Circuit | tags: walk, night, nightlife, lights, social | excellence: 0.87 ] Nanjing Road Urban Trek | tags: walk, shopping, urban, lights, daytime | excellence: 0.89
•	[walk] People’s Square Loop | tags: walk, park, urban, culture, day_night | excellence: 0.83 k] Wukang Road Tree Lined Stroll | tags: walk, heritage, trees, calm, daytime | excellence: 0.84 ] Huangpu River Sunset Path | tags: walk, river, sunset, locals, relax | excellence: 0.85
•	[walk] Old Town & Market Walk | tags: walk, local_life, markets, heritage, daytime | excellence: 0.82
•	[walk] Bund After Dark | tags: walk, night, lights, skyline, photo | excellence: 0.91 cite


City: tokyo
•	[food] Jiro Ramen Ginza | tags: ramen, noodles, bkyu_gurume, casual, local | excellence: 0.88
•	[food] Tsukiji Sushi Counter | tags: sushi, seafood, breakfast, local, traditional | excellence: 0.91
•	[food] Monja Street Tsukishima | tags: monjayaki, teppan, street_food, casual, fun | excellence: 0.85  
•	[food] Tempura Specialist | tags: tempura, japanese, deepfried, traditional, lunch | excellence: 0.87
•	[food] Udon & Tempura Bar | tags: udon, noodles, comfort, local, quick_bite | excellence: 0.84
•	[food] Yakitori Alley Spot | tags: yakitori, grill, izakaya, evening, casual | excellence: 0.83
•	[food] Tokyo Soba House | tags: soba, buckwheat, traditional, lunch, relaxed | excellence: 0.81
•	[food] Okonomiyaki Stand | tags: okonomiyaki, savory_pancake, street_food, casual, local | excellence: 0.80  
•	[food] Crepe Street Harajuku | tags: crepes, sweets, street_food, youth, casual | excellence: 0.79
•	[food] Coffee Kissaten | tags: kissaten, retro_cafe, coffee, dessert, relaxed | excellence: 0.78  
•	[food] Tonkatsu Bistro | tags: tonkatsu, fried, lunch, local, hearty | excellence: 0.83
•	[food] Izakaya & Sake Bar | tags: izakaya, drinks, grill, evening, social | excellence: 0.82
•	[food] Japanese Curry House | tags: curry, rice, comfort, casual, local | excellence: 0.79
•	[food] Wagyu BBQ Restaurant | tags: wagyu, bbq, japanese, premium, dinner | excellence: 0.89
•	[food] French-Japanese Fusion | tags: fusion, fine_dining, modern, dinner, creative | excellence: 0.90
•	[food] Sushi Omakase Spot | tags: omakase, sushi, premium, chef’s_choice, elegant | excellence: 0.94
•	[food] Izakaya Alley Bites | tags: izakaya, small_plates, local, casual, night | excellence: 0.81
•	[food] Yakisoba Stall | tags: yakisoba, noodles, street_food, casual, quick | excellence: 0.76
•	[food] Matcha Dessert Cafe | tags: dessert, matcha, sweets, casual, modern | excellence: 0.80
•	[food] Teppanyaki Grill | tags: teppanyaki, steak, show, dinner, modern | excellence: 0.88
•	[food] Korean BBQ Town | tags: korean, bbq, international, social, dinner | excellence: 0.82
•	[food] Italian Trattoria | tags: italian, pasta, western, casual, lunch | excellence: 0.81
•	[culture] Senso-ji Temple | tags: temple, historic, edo_period, spiritual, traditional | excellence: 0.94  
•	[culture] Meiji Shrine | tags: shrine, shinto, forest, heritage, serene | excellence: 0.92  
•	[culture] Tokyo Skytree | tags: skyscraper, skyline, modern, observation, landmark | excellence: 0.93  
•	[culture] Imperial Palace Grounds | tags: palace, history, gardens, heritage, walk | excellence: 0.91  
•	[culture] Tokyo National Museum | tags: museum, history, art, culture, exhibits | excellence: 0.89  
•	[culture] teamLab Planets | tags: digital_art, immersive, contemporary, creative, interactive | excellence: 0.90 ure] Akihabara Pop Culture | tags: anime, electronics, subculture, shopping, modern | excellence: 0.88  
•	[culture] Ueno Park & Zoo | tags: park, nature, zoo, family, relax | excellence: 0.87  
•	[culture] National Art Center | tags: art, exhibits, contemporary, culture, learning | excellence: 0.85 ure] Edo-Tokyo Museum | tags: history, edo_culture, exhibits, educational, local | excellence: 0.86 ure] Kabuki-za Theatre | tags: theatre, kabuki, performance, traditional, art | excellence: 0.88 ure] Nezu Museum & Garden | tags: museum, garden, art, tranquil, heritage | excellence: 0.87 ure] Shibuya Crossing Viewpoint | tags: intersection, city_life, iconic, modern, photo | excellence: 0.89  
•	[culture] Asakusa Culture Streets | tags: market, heritage, shopping, local, traditional | excellence: 0.88  
•	[culture] Studio Ghibli Museum | tags: museum, animation, whimsical, family, culture | excellence: 0.90 ure] Odaiba Seaside Park | tags: seaside, park, modern, view, family | excellence: 0.84 ture] Sumida River Cruise | tags: river, cruise, evening, scenery, experience | excellence: 0.87  
•	[walk] Shibuya Crossing Walk | tags: walk, urban, iconic, lights, modern | excellence: 0.92  
•	[walk] Asakusa Old Town Stroll | tags: walk, heritage, market, traditional, daytime | excellence: 0.89  
•	[walk] Ueno Park Circuit | tags: walk, park, nature, museum_row, family | excellence: 0.88 ] Harajuku Takeshita Street | tags: walk, youth_culture, shopping, colorful, daytime | excellence: 0.87  
•	[walk] Ginza Luxury Lane | tags: walk, shopping, urban, upscale, daytime | excellence: 0.90  
•	[walk] Odaiba Bay Promenade | tags: walk, seaside, modern, sunset, leisure | excellence: 0.86  
•	[walk] Yanaka Retro Lanes | tags: walk, retro, local_life, alleys, charming | excellence: 0.85 ] Sumida Riverside Path | tags: walk, river, scenic, sunset, calm | excellence: 0.84  
•	[walk] Night Lights Tokyo Tower Loop | tags: walk, night, lights, skyline, photo | excellence: 0.93  
•	[walk] Shimokitazawa Alley Trek | tags: walk, indie_shops, youth, local, daytime | excellence: 0.86 cite


City: hokkaido
•	[food] Soup Curry GARAKU | tags: soup_curry, spicy, local, casual, hearty | excellence: 0.89
•	[food] Sapporo Ramen Shingen | tags: ramen, miso, noodles, comfort, local | excellence: 0.87
•	[food] Ebisoba Ichigen | tags: ramen, shrimp_broth, rich, casual, modern | excellence: 0.88
•	[food] Nemuro Hanamaru | tags: sushi, seafood, conveyor, casual, fresh | excellence: 0.90
•	[food] Kantaro Sushi | tags: sushi, seafood, local, family, lunch | excellence: 0.86
•	[food] Daruma Honten | tags: jingisukan, lamb, grill, traditional, dinner | excellence: 0.91
•	[food] Sapporo Beer Garden | tags: barbecue, beer, social, dinner, lively | excellence: 0.85
•	[food] Hakodate Uni Murakami | tags: sea_urchin, seafood, premium, local, dinner | excellence: 0.92
•	[food] Nijo Market Donburi | tags: donburi, seafood, market, fresh, casual | excellence: 0.84
•	[food] Otaru Masazushi | tags: sushi, refined, seafood, elegant, dinner | excellence: 0.91
•	[food] Milk Kobo | tags: dairy, dessert, sweets, local, casual | excellence: 0.82
•	[food] LeTAO Pathos | tags: cheesecake, dessert, cafe, sweets, modern | excellence: 0.83
•	[food] Rokkatei Cafe | tags: confectionery, sweets, cafe, local, relaxed | excellence: 0.81
•	[food] Asahikawa Aoba | tags: ramen, soy_sauce, classic, local, lunch | excellence: 0.85
•	[food] Hakodate Asaichi Shokudo | tags: seafood, breakfast, market, local, authentic | excellence: 0.88
•	[food] Susukino Izakaya Hachikyo | tags: izakaya, seafood, energetic, dinner, local | excellence: 0.87
•	[food] Kamimura | tags: french, fine_dining, fusion, elegant, dinner | excellence: 0.94
•	[food] Niseko Green Farm Cafe | tags: farm_to_table, vegetables, healthy, casual, scenic | excellence: 0.80
•	[food] Otaru Canal Cafe | tags: cafe, canal_view, dessert, relaxed, daytime | excellence: 0.78
•	[food] Sapporo Craft Beer Works | tags: brewery, beer, casual, nightlife, modern | excellence: 0.82
•	[food] Kushiro Robata | tags: robatayaki, seafood, grill, traditional, dinner | excellence: 0.88
•	[food] Teshikaga Ramen | tags: ramen, rich_broth, hearty, local, casual | excellence: 0.84
•	[culture] Sapporo Snow Festival | tags: winter_festival, snow_sculpture, seasonal, iconic, outdoor | excellence: 0.96
•	[culture] Asahiyama Zoo | tags: wildlife, zoo, family, interactive, outdoor | excellence: 0.92
•	[culture] Shiretoko National Park | tags: national_park, unesco, wilderness, hiking, nature | excellence: 0.93
•	[culture] Lake Toya | tags: caldera_lake, scenic, nature, relax, outdoor | excellence: 0.90
•	[culture] Otaru Canal | tags: canal, historic, scenic, architecture, heritage | excellence: 0.91
•	[culture] Goryokaku Fort | tags: star_fort, history, architecture, landmark, heritage | excellence: 0.89
•	[culture] Upopoy National Ainu Museum | tags: ainu, indigenous, museum, culture, education | excellence: 0.90
•	[culture] Sapporo Beer Museum | tags: beer_history, industrial_heritage, tasting, cultural, exhibits | excellence: 0.86
•	[culture] Hokkaido Shrine | tags: shrine, shinto, forest, spiritual, traditional | excellence: 0.88
•	[culture] Mount Hakodate Observatory | tags: night_view, cityscape, scenic, romantic, landmark | excellence: 0.92
•	[culture] Furano Lavender Fields | tags: flowers, seasonal, countryside, scenic, photography | excellence: 0.91
•	[culture] Blue Pond Biei | tags: natural_wonder, water, scenic, photography, tranquil | excellence: 0.90
•	[culture] Noboribetsu Jigokudani | tags: geothermal, volcanic, landscape, dramatic, outdoor | excellence: 0.89
•	[culture] Sapporo Clock Tower | tags: landmark, history, architecture, heritage, urban | excellence: 0.84
•	[culture] Hakodate Red Brick Warehouses | tags: heritage, waterfront, shopping, architecture, historic | excellence: 0.87
•	[culture] Moerenuma Park | tags: sculpture_park, modern_design, landscape, art, outdoor | excellence: 0.88
•	[culture] Niseko Ski Resort | tags: skiing, powder_snow, winter_sports, mountain, adventure | excellence: 0.94
•	[culture] Abashiri Drift Ice Museum | tags: arctic_theme, interactive, winter, educational, unique | excellence: 0.85
•	[walk] Odori Park Promenade | tags: walk, urban_park, seasonal, daytime, leisure | excellence: 0.86
•	[walk] Susukino Night Walk | tags: walk, nightlife, neon, social, night | excellence: 0.88
•	[walk] Otaru Canal Evening Stroll | tags: walk, canal, romantic, night, scenic | excellence: 0.89
•	[walk] Biei Patchwork Road | tags: walk, countryside, rolling_hills, scenic, daytime | excellence: 0.87
•	[walk] Hakodate Bay Area Walk | tags: walk, waterfront, historic, relaxed, sunset | excellence: 0.85
•	[walk] Lake Toya Lakeside Path | tags: walk, lake, calm, nature, leisure | excellence: 0.84
•	[walk] Noboribetsu Onsen Town Walk | tags: walk, onsen, steam, traditional, atmospheric | excellence: 0.83
•	[walk] Furano Flower Road | tags: walk, flowers, seasonal, countryside, photography | excellence: 0.88
•	[walk] Sapporo Underground Walkway | tags: walk, indoor, modern, urban, winter | excellence: 0.82
•	[walk] Shiretoko Coastal Trail | tags: walk, coast, wilderness, scenic, outdoor | excellence: 0.90


City: osaka
•	[food] Mizuno | tags: okonomiyaki, teppan, local_specialty, casual, dinner | excellence: 0.90
•	[food] Kani Doraku Dotonbori | tags: crab, seafood, iconic, dinner, traditional | excellence: 0.91
•	[food] Kushikatsu Daruma | tags: kushikatsu, deep_fried, street_food, casual, lively | excellence: 0.88
•	[food] Endo Sushi | tags: sushi, seafood, market_style, breakfast, authentic | excellence: 0.89
•	[food] Hanamaruken Ramen | tags: ramen, pork_broth, comfort, casual, local | excellence: 0.86
•	[food] Jibundoki Umeda | tags: izakaya, small_plates, social, evening, modern | excellence: 0.82
•	[food] Matsusakagyu Yakiniku | tags: yakiniku, wagyu, grill, premium, dinner | excellence: 0.93
•	[food] Tsurutontan Soemoncho | tags: udon, noodles, late_night, casual, comfort | excellence: 0.85
•	[food] Ajinoya | tags: okonomiyaki, traditional, hearty, lunch, local | excellence: 0.89
•	[food] Honke Owariya | tags: soba, buckwheat, classic, lunch, refined | excellence: 0.83
•	[food] Chibo | tags: teppanyaki, okonomiyaki, lively, casual, group | excellence: 0.87
•	[food] Takoyaki Wanaka | tags: takoyaki, street_food, snack, casual, local | excellence: 0.88
•	[food] Ichiran Ramen Namba | tags: ramen, tonkotsu, solo_dining, casual, modern | excellence: 0.84
•	[food] La Cime | tags: french, fine_dining, tasting_menu, creative, elegant | excellence: 0.95
•	[food] Pizzeria da Tigre | tags: italian, pizza, wood_fired, casual, lunch | excellence: 0.82
•	[food] Ali’s Kitchen | tags: indian, spicy, curry, casual, international | excellence: 0.81
•	[food] Halal Ramen Naniwaya | tags: halal, ramen, inclusive, casual, noodles | excellence: 0.80
•	[food] Rikuro Cheesecake | tags: cheesecake, dessert, bakery, sweet, takeaway | excellence: 0.83
•	[food] Pablo Tart Shop | tags: tart, dessert, cafe, modern, sweets | excellence: 0.79
•	[food] Kuromon Market Donburi | tags: seafood_bowl, market, fresh, lunch, local | excellence: 0.87
•	[food] Gyozaoh | tags: gyoza, dumplings, casual, evening, local | excellence: 0.78
•	[food] Beer Belly Tenma | tags: craft_beer, pub, social, casual, nightlife | excellence: 0.81
•	[culture] Osaka Castle | tags: castle, samurai_history, landmark, heritage, park | excellence: 0.94
•	[culture] Shitennoji Temple | tags: buddhist_temple, ancient, spiritual, traditional, heritage | excellence: 0.90
•	[culture] Sumiyoshi Taisha | tags: shrine, shinto, architecture, sacred, historic | excellence: 0.89
•	[culture] National Museum of Art | tags: modern_art, underground_architecture, exhibits, contemporary, culture | excellence: 0.87
•	[culture] Osaka Museum of History | tags: museum, urban_history, interactive, educational, heritage | excellence: 0.85
•	[culture] Universal Studios Japan | tags: theme_park, entertainment, family, immersive, modern | excellence: 0.93
•	[culture] Kuromon Market | tags: food_culture, market, local_life, vibrant, traditional | excellence: 0.88
•	[culture] Nakanoshima Park | tags: riverside_park, urban, seasonal, relax, public_space | excellence: 0.84
•	[culture] Umeda Sky Building | tags: skyscraper, observation_deck, skyline, modern, landmark | excellence: 0.91
•	[culture] Tempozan Giant Ferris Wheel | tags: ferris_wheel, waterfront, view, leisure, modern | excellence: 0.86
•	[culture] Osaka Aquarium Kaiyukan | tags: aquarium, marine_life, family, educational, immersive | excellence: 0.92
•	[culture] Hozenji Yokocho | tags: stone_paved_alley, lanterns, traditional, atmosphere, heritage | excellence: 0.87
•	[culture] Tennoji Zoo | tags: zoo, wildlife, family, outdoor, recreation | excellence: 0.83
•	[culture] Minoo Park | tags: waterfall, nature, hiking, seasonal, scenic | excellence: 0.88
•	[culture] Bunraku National Theatre | tags: puppetry, performing_arts, traditional, cultural, heritage | excellence: 0.89
•	[culture] Abeno Harukas Art Museum | tags: art_museum, skyline_view, contemporary, exhibits, modern | excellence: 0.86
•	[culture] America Mura | tags: youth_culture, street_art, fashion, subculture, urban | excellence: 0.84
•	[culture] Shinsekai District | tags: retro, neon, local_life, nostalgic, entertainment | excellence: 0.88
